Zairyo_Shubetsu_ID,Zairyo_Shubetsu_Nm,Zairyo_Kbn_ID,Sort_No,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
458,ﾍﾞｰｼｯｸｶｰﾍﾟｯﾄ,4,86,1,0,0,,
459,ｶﾗｰｺﾚｸｼｮﾝ,4,87,1,0,0,,
460,機能性ｶｰﾍﾟｯﾄ,4,88,1,0,0,,
461,ﾆｰﾄﾞﾙﾊﾟﾝﾁｶｰﾍﾟｯﾄ,4,89,1,0,0,,
462,人工芝,4,90,1,0,0,,
463,ﾊｲｽﾍﾟｯｸﾀﾌﾄCYP,4,91,1,0,0,,
464,ﾊｲｽﾍﾟｯｸﾀﾌﾄｶﾗｰﾃｯｸ,4,92,1,0,0,,
465,ｳｰﾙﾀﾌﾄ,4,93,1,0,0,,
466,ﾅｲﾛﾝｸﾞﾗﾌｨｯｸﾀﾌﾄ,4,94,1,0,0,,
467,ｶﾗｰﾀﾌﾄ,4,95,1,0,0,,
468,ﾍﾞｰｼｯｸﾀﾌﾄ,4,96,1,0,0,,
471,床下地材,4,97,1,0,0,,
472,腰壁・他ｼｰﾄ,4,98,1,0,0,,
481,床接着剤,4,99,1,0,0,,
482,床継目処理材,4,100,1,0,0,,
483,床溶接棒,4,101,1,0,0,,
484,床目地棒,4,102,1,0,0,,
491,ｿﾌﾄ巾木,4,103,1,0,0,,
492,ｻｻﾗ巾木,4,104,1,0,0,,
493,ﾓｰﾙ･見切･他部材,4,105,1,0,0,,
494,ｴｱｺﾝ排水･他部材,4,106,1,0,0,,
571,量産品,5,107,1,0,0,,
572,一般品,5,108,1,0,0,,
573,中級品,5,109,1,0,0,,
574,高級品,5,110,1,0,0,,
575,特選品,5,111,1,0,0,,
576,和風,5,112,1,0,0,,
577,織物,5,113,1,0,0,,
578,不燃認定,5,114,1,0,0,,
579,環境対応,5,115,1,0,0,,
580,機能,5,116,1,0,0,,
581,扉用ﾘｱﾃｯｸ,5,117,1,0,0,,
582,掲示板用ｸﾛｽ,5,118,1,0,0,,
583,ｴｰｽｳｯﾄﾞ,5,119,1,0,0,,
584,ｻﾝﾌｯﾄ,5,120,1,0,0,,
585,ﾄﾘﾑ,5,121,1,0,0,,
586,ﾓｰﾙﾄﾞ,5,122,1,0,0,,
591,その他,5,123,1,0,0,,
999,指定なし,91,124,1,0,0,,
