Zairyo_Kosei_ID,Shiyo_ID,Sort_No,Zairyo_ID,Zairyo_Keisu,Teisyaku,Tani_ID,Konpo_Calc_Flg,Setsumei,Zairyo_Keisu_Default,Teisyaku_Default,Tani_ID_Default,Konpo_Calc_Flg_Default,Setsumei_Default,Zairyo_Tanka_Ref_Col1,Zairyo_Tanka_Ref_Col2,Zairyo_Tanka_Ref_Col3,Zairyo_Tanka_Ref_Col4,Sort_No_Default,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
7469,316020013,1,2020001,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7470,316020013,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7471,316020014,1,2020001,0.6172,,,,,0.6172,,,,,,,,,1,1,0,0,,
7472,316020014,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7473,316020015,1,2020001,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7474,316020015,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7475,316020016,1,2020001,0.6481,,,,,0.6481,,,,,,,,,1,1,0,0,,
7476,316020016,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7477,316021001,1,2020002,0.1099,,,,,0.1099,,,,,,,,,1,1,0,0,,
7478,316021001,2,2300001,0.042,,,,,0.042,,,,,,,,,2,1,0,0,,
7479,316021002,1,2020002,0.1832,,,,,0.1832,,,,,,,,,1,1,0,0,,
7480,316021002,2,2300001,0.084,,,,,0.084,,,,,,,,,2,1,0,0,,
7481,316021003,1,2020002,0.2747,,,,,0.2747,,,,,,,,,1,1,0,0,,
7482,316021003,2,2300001,0.126,,,,,0.126,,,,,,,,,2,1,0,0,,
7483,316021004,1,2020002,0.3704,,,,,0.3704,,,,,,,,,1,1,0,0,,
7484,316021004,2,2300001,0.168,,,,,0.168,,,,,,,,,2,1,0,0,,
7485,316021005,1,2020002,0.5495,,,,,0.5495,,,,,,,,,1,1,0,0,,
7486,316021005,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7487,316021006,1,2020002,0.7778,,,,,0.7778,,,,,,,,,1,1,0,0,,
7488,316021006,2,2300001,0.336,,,,,0.336,,,,,,,,,2,1,0,0,,
7489,316021011,1,2020002,0.7327,,,,,0.7327,,,,,,,,,1,1,0,0,,
7490,316021011,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7491,316021012,1,2020002,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7492,316021012,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7493,316021013,1,2020002,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7494,316021013,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7495,316021014,1,2020002,0.6172,,,,,0.6172,,,,,,,,,1,1,0,0,,
7496,316021014,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7497,316021015,1,2020002,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7498,316021015,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7499,316021016,1,2020002,0.6481,,,,,0.6481,,,,,,,,,1,1,0,0,,
7500,316021016,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7501,316022001,1,2020003,0.1099,,,,,0.1099,,,,,,,,,1,1,0,0,,
7502,316022001,2,2300001,0.042,,,,,0.042,,,,,,,,,2,1,0,0,,
7503,316022002,1,2020003,0.1832,,,,,0.1832,,,,,,,,,1,1,0,0,,
7504,316022002,2,2300001,0.084,,,,,0.084,,,,,,,,,2,1,0,0,,
7505,316022003,1,2020003,0.2747,,,,,0.2747,,,,,,,,,1,1,0,0,,
7506,316022003,2,2300001,0.126,,,,,0.126,,,,,,,,,2,1,0,0,,
7507,316022004,1,2020003,0.3704,,,,,0.3704,,,,,,,,,1,1,0,0,,
7508,316022004,2,2300001,0.168,,,,,0.168,,,,,,,,,2,1,0,0,,
7509,316022005,1,2020003,0.5495,,,,,0.5495,,,,,,,,,1,1,0,0,,
7510,316022005,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7511,316022006,1,2020003,0.7778,,,,,0.7778,,,,,,,,,1,1,0,0,,
7512,316022006,2,2300001,0.336,,,,,0.336,,,,,,,,,2,1,0,0,,
7513,316022011,1,2020003,0.7327,,,,,0.7327,,,,,,,,,1,1,0,0,,
7514,316022011,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7515,316022012,1,2020003,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7516,316022012,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7517,316022013,1,2020003,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7518,316022013,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7519,316022014,1,2020003,0.6172,,,,,0.6172,,,,,,,,,1,1,0,0,,
7520,316022014,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7521,316022015,1,2020003,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7522,316022015,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7523,316022016,1,2020003,0.6481,,,,,0.6481,,,,,,,,,1,1,0,0,,
7524,316022016,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7525,317010001,1,2010001,0.2198,,,,,0.2198,,,,,,,,,1,1,0,0,,
7526,317010001,2,2300001,0.084,,,,,0.084,,,,,,,,,2,1,0,0,,
7527,317010002,1,2010001,0.293,,,,,0.293,,,,,,,,,1,1,0,0,,
7528,317010002,2,2300001,0.126,,,,,0.126,,,,,,,,,2,1,0,0,,
7529,317010003,1,2010001,0.3663,,,,,0.3663,,,,,,,,,1,1,0,0,,
7530,317010003,2,2300001,0.168,,,,,0.168,,,,,,,,,2,1,0,0,,
7531,317010004,1,2010001,0.4579,,,,,0.4579,,,,,,,,,1,1,0,0,,
7532,317010004,2,2300001,0.21,,,,,0.21,,,,,,,,,2,1,0,0,,
7533,317010005,1,2010001,0.5535,,,,,0.5535,,,,,,,,,1,1,0,0,,
7534,317010005,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7535,317010006,1,2010001,0.5495,,,,,0.5495,,,,,,,,,1,1,0,0,,
7536,317010006,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7537,317010011,1,2010001,0.7327,,,,,0.7327,,,,,,,,,1,1,0,0,,
7538,317010011,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7539,317010012,1,2010001,0.6511,,,,,0.6511,,,,,,,,,1,1,0,0,,
7540,317010012,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7541,317010013,1,2010001,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7542,317010013,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7543,317010014,1,2010001,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7544,317010014,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7545,317010015,1,2010001,0.615,,,,,0.615,,,,,,,,,1,1,0,0,,
7546,317010015,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7547,317010016,1,2010001,0.6106,,,,,0.6106,,,,,,,,,1,1,0,0,,
7548,317010016,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7549,317011001,1,2010002,0.2198,,,,,0.2198,,,,,,,,,1,1,0,0,,
7550,317011001,2,2300001,0.084,,,,,0.084,,,,,,,,,2,1,0,0,,
7551,317011002,1,2010002,0.293,,,,,0.293,,,,,,,,,1,1,0,0,,
7552,317011002,2,2300001,0.126,,,,,0.126,,,,,,,,,2,1,0,0,,
7553,317011003,1,2010002,0.3663,,,,,0.3663,,,,,,,,,1,1,0,0,,
7554,317011003,2,2300001,0.168,,,,,0.168,,,,,,,,,2,1,0,0,,
7555,317011004,1,2010002,0.4579,,,,,0.4579,,,,,,,,,1,1,0,0,,
7556,317011004,2,2300001,0.21,,,,,0.21,,,,,,,,,2,1,0,0,,
7557,317011005,1,2010002,0.5535,,,,,0.5535,,,,,,,,,1,1,0,0,,
7558,317011005,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7559,317011006,1,2010002,0.5495,,,,,0.5495,,,,,,,,,1,1,0,0,,
7560,317011006,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7561,317011011,1,2010002,0.7327,,,,,0.7327,,,,,,,,,1,1,0,0,,
7562,317011011,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7563,317011012,1,2010002,0.6511,,,,,0.6511,,,,,,,,,1,1,0,0,,
7564,317011012,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7565,317011013,1,2010002,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7566,317011013,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7567,317011014,1,2010002,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7568,317011014,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7569,317011015,1,2010002,0.615,,,,,0.615,,,,,,,,,1,1,0,0,,
7570,317011015,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7571,317011016,1,2010002,0.6106,,,,,0.6106,,,,,,,,,1,1,0,0,,
7572,317011016,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7573,317012001,1,2010003,0.2198,,,,,0.2198,,,,,,,,,1,1,0,0,,
7574,317012001,2,2300001,0.084,,,,,0.084,,,,,,,,,2,1,0,0,,
7575,317012002,1,2010003,0.293,,,,,0.293,,,,,,,,,1,1,0,0,,
7576,317012002,2,2300001,0.126,,,,,0.126,,,,,,,,,2,1,0,0,,
7577,317012003,1,2010003,0.3663,,,,,0.3663,,,,,,,,,1,1,0,0,,
7578,317012003,2,2300001,0.168,,,,,0.168,,,,,,,,,2,1,0,0,,
7579,317012004,1,2010003,0.4579,,,,,0.4579,,,,,,,,,1,1,0,0,,
7580,317012004,2,2300001,0.21,,,,,0.21,,,,,,,,,2,1,0,0,,
7581,317012005,1,2010003,0.5535,,,,,0.5535,,,,,,,,,1,1,0,0,,
7582,317012005,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7583,317012006,1,2010003,0.5495,,,,,0.5495,,,,,,,,,1,1,0,0,,
7584,317012006,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7585,317012011,1,2010003,0.7327,,,,,0.7327,,,,,,,,,1,1,0,0,,
7586,317012011,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7587,317012012,1,2010003,0.6511,,,,,0.6511,,,,,,,,,1,1,0,0,,
7588,317012012,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7589,317012013,1,2010003,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7590,317012013,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7591,317012014,1,2010003,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7592,317012014,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7593,317012015,1,2010003,0.615,,,,,0.615,,,,,,,,,1,1,0,0,,
7594,317012015,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7595,317012016,1,2010003,0.6106,,,,,0.6106,,,,,,,,,1,1,0,0,,
7596,317012016,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7597,317020001,1,2020001,0.2198,,,,,0.2198,,,,,,,,,1,1,0,0,,
7598,317020001,2,2300001,0.084,,,,,0.084,,,,,,,,,2,1,0,0,,
7599,317020002,1,2020001,0.293,,,,,0.293,,,,,,,,,1,1,0,0,,
7600,317020002,2,2300001,0.126,,,,,0.126,,,,,,,,,2,1,0,0,,
7601,317020003,1,2020001,0.3663,,,,,0.3663,,,,,,,,,1,1,0,0,,
7602,317020003,2,2300001,0.168,,,,,0.168,,,,,,,,,2,1,0,0,,
7603,317020004,1,2020001,0.4579,,,,,0.4579,,,,,,,,,1,1,0,0,,
7604,317020004,2,2300001,0.21,,,,,0.21,,,,,,,,,2,1,0,0,,
7605,317020005,1,2020001,0.5535,,,,,0.5535,,,,,,,,,1,1,0,0,,
7606,317020005,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7607,317020006,1,2020001,0.5495,,,,,0.5495,,,,,,,,,1,1,0,0,,
7608,317020006,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7609,317020011,1,2020001,0.7327,,,,,0.7327,,,,,,,,,1,1,0,0,,
