Shiyo_Shubetsu_ID,Shiyo_Shubetsu_Nm,Koji_Kbn_ID,Seko_Tanka_Kbn_ID,Sort_No,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
604,有孔石膏ﾎﾞｰﾄﾞ,2,621,5,1,0,0,,
605,化粧石膏ﾎﾞｰﾄﾞ,2,621,6,1,0,0,,
606,石膏ﾎﾞｰﾄﾞ･ｼｯｸ対応,2,621,7,1,0,0,,
607,化粧石膏ﾎﾞｰﾄﾞ･ｼｯｸ対応,2,621,8,1,0,0,,
608,ｹｲｶﾙ板,2,622,9,1,0,0,,
609,化粧繊維混入石膏板,2,622,16,1,0,0,,
610,化粧ｹｲｶﾙ板,2,623,17,1,0,0,,
611,化粧ﾌﾚｷ板,2,623,18,1,0,0,,
612,特殊UV塗料硬質ｾﾒﾝﾄ板,2,623,19,1,0,0,,
613,ﾒﾗﾐﾝ不燃化粧板,2,623,20,1,0,0,,
614,ﾌﾚｷ板,2,622,11,1,0,0,,
615,FGﾎﾞｰﾄﾞ,2,622,13,1,0,0,,
616,有孔ｹｲｶﾙ板,2,622,10,1,0,0,,
617,岩綿吸音板,2,624,15,1,0,0,,
618,合板,2,626,21,1,0,0,,
620,GW･RW,2,626,22,1,0,0,,
621,ﾊﾞｽﾊﾟﾈﾙ,2,626,23,1,0,0,,
622,ｽﾊﾟﾝﾄﾞﾚﾙ,2,626,24,1,0,0,,
623,ﾎﾞｰﾄﾞｶｯﾄ,2,626,32,1,0,0,,
624,労務補正,2,626,33,1,0,0,,
626,遮音材,2,626,25,1,0,0,,
628,補助材,2,626,26,1,0,0,,
629,ｼｰﾙ,2,626,27,1,0,0,,
630,廻り縁,2,626,28,1,0,0,,
631,見切･ｼﾞｮｲﾅｰ,2,626,29,1,0,0,,
632,出隅ｺｰﾅｰ,2,626,30,1,0,0,,
633,点検口,2,626,31,1,0,0,,
634,硬質石膏ﾎﾞｰﾄﾞ,2,621,4,1,0,0,,
642,有孔ﾌﾚｷ板,2,622,12,1,0,0,,
643,有孔FGﾎﾞｰﾄﾞ,2,622,14,1,0,0,,
681,吉野石膏,3,641,34,1,0,0,,
682,ﾁﾖﾀﾞｳｰﾃ,3,641,35,1,0,0,,
683,ﾆﾁｱｽ,3,641,36,1,0,0,,
684,A&Aﾏﾃﾘｱﾙ,3,641,37,1,0,0,,
685,耐火ｼｰﾙ,3,641,38,1,0,0,,
999,指定なし,91,691,107,1,0,0,,
