AdQuoNo,DetailType,DetailNo,Type,PartName,MaterialName,SpecName1,SpecName2,No,FirstName,StandDimen,MakerName,MakerNameOrg,Unit,UnitOrg,Quantity,UnitPrice,UnitPriceOrg,Amount,Note,LaborOuts,MaterUnitPrice,LaborUnitPrice,OutsUnitPrice,MaterCostTotal,LaborCostTotal,OutsCostTotal,MaterUnitPriceOrg,LaborUnitPriceOrg,OutsUnitPriceOrg,MaterUPChangeFlag,LaborUPChangeFlag,OutsUPChangeFlag,FirstNameChangeFlag,StandChangeFlag,UnitPriceChangeFlag,AmountChangeFlag,MakerChangeFlag,UnitChangeFlag,SpecCode1,SpecCode2,ReadFlag,M_EstUP1,M_MaterUP1,M_LaborUP1,M_OutsUP1,M_EstUP2,M_MaterUP2,M_LaborUP2,M_OutsUP2,MaterScaleFactor,LaborAmountTotal,OutsAmountTotal,OpenUPOrg,MaterOpenUPOrg,LaborOpenUPOrg,OutsOpenUPOrg,OutsCost,MaterCost,LiftingCost,LaborCost,SiteExpense,ReadDataKey
3,1,422,,,,,,2,＜壁＞,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,423,B 軽鉄下地 (壁),壁,一般材,壁 軽鉄下地 W=65 @303,,3,壁 軽鉄壁下地,W=65 @300,,,m2,㎡,76,"2,100","2,100","159,600",30ﾊﾞｽA建築b既存改修3.外部 金属工事,労務,"1,110",450,"1,890","84,360","34,200","143,640","1,110",450,"1,890",0,0,0,1,1,0,0,0,1,2010006,,1,"2,100","1,110",450,"1,890",,,,,1,,,0,0,0,0,,"84,360","3,192","34,200","3,192",
3,1,424,,,,,,0,,(天井内(ACW上部)),,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,425,,,,,,0,,図A-1363/L-2,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,426,,,,,,1,(内部),,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,427,,,,,,2,＜壁＞,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,428,B 軽鉄下地 (壁),壁,一般材,壁 軽鉄下地 W=100 @455,,3,壁 軽鉄壁下地,100形 下地張りあり @450,,,m2,㎡,21.5,"1,850","1,850","39,775",30ﾊﾞｽA建築b既存改修4.内部1.内装 金属工,労務,961,420,"1,670","20,662","9,030","35,905",961,420,"1,670",0,0,0,1,1,0,0,0,1,2010109,,1,"1,850",961,420,"1,670",,,,,1,,,0,0,0,0,,"20,662",796,"9,030",796,
3,1,429,B 軽鉄下地 (壁),柱型,一般材,柱型 軽鉄下地 W=100 @455,,4,柱型 軽鉄壁下地,100形 下地張りあり @450,,,m2,㎡,16.6,"2,800","2,800","46,480",30ﾊﾞｽA建築b既存改修4.内部1.内装 金属工,労務,"1,444",500,"2,520","23,970","8,300","41,832","1,444",500,"2,520",0,0,0,1,1,0,0,0,1,2070109,,1,"2,800","1,444",500,"2,520",,,,,1,,,0,0,0,0,,"23,970",930,"8,300",930,
3,1,430,B 軽鉄下地 (壁),壁,一般材,壁 軽鉄下地 W=100 @455,,5,壁 軽鉄壁下地,100形 下地張りあり @450,,,m2,㎡,6.9,"1,850","1,850","12,765",30ﾊﾞｽA建築b既存改修4.内部1.内装 金属工,労務,961,420,"1,670","6,631","2,898","11,523",961,420,"1,670",0,0,0,1,1,0,0,0,1,2010109,,1,"1,850",961,420,"1,670",,,,,1,,,0,0,0,0,,"6,631",255,"2,898",255,
3,1,431,,,,,,0,,補強材:2□-100×100×3.2 @3600,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,432,,,,,,0,,(5.0＜H≦7.0m),,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,433,,,,,,0,,図A-2252準,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,434,B 軽鉄下地 (壁),壁開口,一般材,壁 開口補強 W=100,,1,軽鉄壁下地 開口部補強,100形用,,,ｍ,M,13.9,"1,300","1,300","18,070",30ﾊﾞｽA建築b既存改修4.内部1.内装 金属工,労務,620,290,"1,170","8,618","4,031","16,263",620,290,"1,170",0,0,0,1,1,0,0,0,1,2130009,,1,"1,300",620,290,"1,170",,,,,1,,,0,0,0,0,,"8,618",361,"4,031",361,
3,1,435,,,,,,2,＜天井＞,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,436,A 軽鉄下地 (天井),天井,一般材,天井 軽鉄下地 @227.5,ﾌﾄｺﾛ H=3000以下 (水平補強),3,天井 軽鉄天井下地,19形 捨張,,,m2,㎡,63.1,"3,000","3,000","189,300",30ﾊﾞｽA建築b既存改修4.内部1.内装 金属工,労務,"1,435",620,"2,700","90,549","39,122","170,370","1,435",620,"2,700",0,0,0,1,1,0,0,0,1,1010004,1130105,1,"1,500",695,430,"1,350","1,500",740,190,"1,350",1,,,0,0,0,0,,"90,549","3,786","39,122","3,786",
3,1,437,,,,,,0,,(岩綿吸音板t9+PBt9.5) @360,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,438,,,,,,0,,ﾌﾄｺﾛ 2.5≦H<3.0,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,439,,,,,,0,,振止1段共,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,440,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
