Shiyo_Shubetsu_Kbn_ID,Koshu_ID,Shiyo_Shubetsu_ID,Seko_Tanka_Kbn_ID,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF,Shiyo_Shubetsu_Nm
87,11,427,651,1,0,0,,,ｸｯｼｮﾝﾌﾛｱ
88,11,428,651,1,0,0,,,織物ﾋﾞﾆﾙ床ｼｰﾄ
89,11,429,651,1,0,0,,,長尺ｼｰﾄ(特殊機能)
90,11,430,651,1,0,0,,,ﾘﾉﾘｳﾑ床ｼｰﾄ
91,11,431,651,1,0,0,,,防滑性ﾋﾞﾆﾙ床ｼｰﾄ
92,11,432,651,1,0,0,,,防滑性ﾋﾞﾆﾙ床ｼｰﾄ(階段用)
93,11,441,652,1,0,0,,,ﾀｲﾙｶｰﾍﾟｯﾄ
94,11,442,652,1,0,0,,,ﾀｲﾙｶｰﾍﾟｯﾄ(特殊機能)
95,11,443,652,1,0,0,,,ﾌﾟﾘﾝﾄｶｰﾍﾟｯﾄﾀｲﾙ
96,11,444,652,1,0,0,,,ﾌｧﾌﾞﾃｯｸﾀｲﾙ
97,11,445,652,1,0,0,,,ﾌｧﾌﾞﾘｯｸﾌﾛｱ
98,11,446,652,1,0,0,,,住宅用ﾎｰﾑﾀｲﾙ
99,11,447,652,1,0,0,,,視覚障がい者誘導用ﾀｲﾙｶｰﾍﾟｯﾄ
100,11,451,652,1,0,0,,,ｱｷｽﾐﾝｽﾀｰｶｰﾍﾟｯﾄ
101,11,452,652,1,0,0,,,ｳｲﾙﾄﾝｶｰﾍﾟｯﾄ
102,11,453,652,1,0,0,,,ﾀﾌﾃｯﾄﾞｶｰﾍﾟｯﾄ
103,11,454,652,1,0,0,,,ｳｰﾙｶｰﾍﾟｯﾄ
104,11,455,652,1,0,0,,,ｶﾗｰﾃｯｸ
105,11,456,652,1,0,0,,,ｸﾞﾗﾌｨｶﾛｰﾙｶｰﾍﾟｯﾄ
106,11,457,652,1,0,0,,,ﾎﾟﾘﾌﾟﾛﾋﾟﾚﾝｶｰﾍﾟｯﾄ
107,11,458,652,1,0,0,,,ﾍﾞｰｼｯｸｶｰﾍﾟｯﾄ
108,11,459,652,1,0,0,,,ｶﾗｰｺﾚｸｼｮﾝ
109,11,460,652,1,0,0,,,機能性ｶｰﾍﾟｯﾄ
